Phase,Week,Category,Summary,Detail
Phase 1,Week 1,아키텍처/설계,전체 구조 및 책임 분리 설계,"텍스트 투 SQL 에이전트 상위 구조, 추상 인터페이스, 컴포넌트 경계 정의"
Phase 1,Week 2,데이터 자원 준비,SQL 로그/도메인 지식 구조 설계,"SQL 실행 로그 스키마, 키워드 셋, 데이터 딕셔너리/도메인 지식 저장 구조 설계"
Phase 1,Week 3,벡터 DB 기반 설계,Milvus 컬렉션 및 인덱스 설계,"SQL 로그/키워드, 도메인 지식용 벡터 컬렉션 정의 및 유사도 기준(보수적) 설계"
Phase 1,Week 4,API 상위 설계,FastAPI 및 외부 호출 인터페이스 설계,"에이전트 호출용 API 스펙 정의, MCP 전환을 고려한 추상화 방향 정리"
Phase 1,Week 5,유사 SQL 검색 구현,유사 SQL Top-k 검색 플로우 구현,"자연어 질의 → 임베딩 → Milvus 유사도 검색 → Top-k 결과 반환 로직 구현"
Phase 1,Week 6,의도 분석/평가 구현,LLM 기반 의도 분석 및 유사도 판단 구현,"질의 의도 분석, 90% 이상 유사일 때만 재사용하는 보수적 분기 로직 구현"
Phase 1,Week 7,플로우 통합,유사 SQL 재사용 플로우 통합,"의도 분석 → 유사 SQL 검색 → SQL 실행 → 결과 충분/불충분 판정까지 단일 플로우로 통합"
Phase 1,Week 8,테스트/안정화,PoC 테스트 및 품질 보정,"내부 사용자 테스트, 보수적 기준 튜닝, 로그/모니터링 기반 안정화 작업"

Phase 2,Week 1,문제 정의/모델링,사고 과정 기반 SQL 작성 모델링,"숙련자 SQL 작성 단계 정리(요구 해체, 테이블 선택, 조인/조건/집계, 검증 등)"
Phase 2,Week 2,에이전트 상위 설계,생성형 SQL 에이전트 구조 설계,"Phase1 공통 추상 위에 생성형 에이전트 역할·경계 정의, 라우팅 전략 수립"
Phase 2,Week 3,지식/스키마 활용 설계,도메인 지식·스키마 활용 전략 설계,"데이터 딕셔너리, 테이블/컬럼/관계 정보를 조회·활용하는 패턴 설계"
Phase 2,Week 4,데이터 누적 설계,사고 과정 및 결과 저장 구조 설계,"reasoning trace, 생성 SQL, 실행 결과, 사용자 피드백 저장 구조 정의"
Phase 2,Week 5,생성 플로우 구현,사고 단계 기반 SQL 생성 플로우 구현,"요구 재해석 → 정보 조회 → SQL 초안 생성 → 부분 실행/검증 단계 구현"
Phase 2,Week 6,Phase1 연계 구현,Phase1에서 Phase2로의 라우팅 구현,"유사 SQL 없음/불충분 시 생성형 플로우로 자동 전환되는 라우팅 로직 구현"
Phase 2,Week 7,피드백/학습 루프,결과 피드백 및 예제 재활용 구조 구현,"좋은 생성 SQL은 로그에 재주입, 문제 케이스는 개선 데이터로 분류하는 루프 구현"
Phase 2,Week 8,통합 테스트/안정화,엔드투엔드 통합 및 품질 점검,"Phase1+Phase2 통합 테스트, 사용자 경험 점검, 주요 지표(성공률·수정률) 측정"

Phase 3,Week 1,아키텍처 정리,MCP 확장 고려한 모듈 구조 정리,"에이전트 생성/제어 계층 추상화, HTTP와 MCP가 공유할 수 있는 구조로 리팩터링"
Phase 3,Week 2,성능 최적화 설계,성능·확장성 개선 방향 정의,"Milvus, LLM 호출, DB 실행 등 병목 구간 분석 및 최적화 방안 설계"
Phase 3,Week 3,벡터 DB 튜닝,Milvus 인덱스·리소스 튜닝,"컬렉션 인덱스 파라미터, 쿼리 전략, 리소스 배치 최적화"
Phase 3,Week 4,캐싱/리소스 관리,캐싱 및 비용·리소스 관리 구조 구현,"반복 질의 캐싱, LLM 호출 최적화, 리밋/쿼터 전략 구현"
Phase 3,Week 5,MCP/통신 계층 구현,MCP 연동 또는 MCP 호환 인터페이스 구현,"에이전트 호출을 MCP 프로토콜 또는 호환 계층에서 사용할 수 있도록 구현"
Phase 3,Week 6,운영/모니터링,모니터링·로그·알람 체계 강화,"지표 대시보드, 장애 탐지·알람, 로그 기반 분석 체계 구축"
Phase 3,Week 7,품질 개선 사이클,실사용 로그 기반 품질 튜닝,"오답 패턴 분석, 프롬프트·룰·모델 조정, 벤치마크 정리"
Phase 3,Week 8,정리/로드맵 수립,운영 가이드 및 차기 로드맵 작성,"장애 대응 가이드, 배포 전략, 차기 기능(다중 DB, 고급 질의 등) 로드맵 정리"